Id,SourceId,Source,Comment,W,L,G,PossibleDuplicate,SuspiciousWeight
417,L15,Crawford,,27.00,47.00,19.50,0,0
418,L18,Crawford,,27.00,47.00,20.75,0,0
419,X55,Crawford,,27.00,46.00,21.00,0,0
420,Y15,Crawford,,27.00,46.00,21.50,0,0
421,N51,Crawford,,27.00,47.50,22.00,0,0
422,N70,Crawford,,27.00,48.00,20.50,0,0
423,C275,Crawford,,27.00,50.50,20.25,0,0
424,C276,Crawford,,27.00,50.00,18.50,0,0
425,C277,Crawford,,27.00,46.00,21.50,0,0
426,C278,Crawford,,27.00,48.00,21.75,0,0
427,C279,Crawford,,27.00,48.00,20.50,0,0
428,C280,Crawford,,27.00,48.00,21.50,0,0
429,C281,Crawford,,27.00,46.00,21.50,0,0
430,C282,Crawford,,27.00,47.00,20.75,0,0
431,C283,Crawford,,27.00,46.00,21.00,0,0
432,C284,Crawford,,27.00,47.50,22.00,0,0
433,C285,Crawford,,27.00,47.00,19.50,0,0
434,C286,Crawford,,27.00,44.00,19.00,0,0
435,C287,Crawford,,26.93,45.00,20.50,0,0
436,C288,Crawford,,26.63,49.00,20.00,0,0
437,X26,Crawford,,26.50,47.00,20.50,0,0
438,N48,Crawford,,26.50,46.50,20.00,0,0
439,C289,Crawford,,26.50,48.25,23.06,0,0
440,C290,Crawford,,26.50,46.50,20.00,0,0
441,C291,Crawford,,26.50,47.50,19.88,0,0
442,C292,Crawford,,26.50,46.00,22.25,0,0
443,C293,Crawford,,26.50,47.00,20.50,0,0
444,C295,Crawford,,26.43,46.75,20.00,0,0
445,C296,Crawford,,26.25,42.50,20.00,0,0
446,C297,Crawford,,26.13,49.00,19.00,0,0
447,C298,Crawford,,26.06,48.75,19.50,0,0
448,C299,Crawford,,26.06,47.00,21.00,0,0
449,L48,Crawford,,26.00,44.50,20.25,0,0
450,L63,Crawford,,26.00,45.50,20.00,0,0
451,M02,Crawford,,26.00,46.00,20.00,0,0
452,Y04,Crawford,,26.00,46.00,20.75,0,0
453,N46,Crawford,,26.00,45.00,21.00,0,0
454,N49,Crawford,,26.00,48.00,18.00,0,0
455,C300,Crawford,,26.00,46.50,20.00,0,0
456,C301,Crawford,,26.00,46.00,20.75,0,0
457,C302,Crawford,,26.00,44.50,20.25,0,0
458,C303,Crawford,,26.00,46.00,20.00,0,0
459,C304,Crawford,,26.00,45.50,20.00,0,0
460,C305,Crawford,,26.00,46.50,18.50,0,0
461,C306,Crawford,,26.00,44.00,19.50,0,0
462,C307,Crawford,,26.00,45.00,21.00,0,0
463,C308,Crawford,,26.00,48.00,18.00,0,0
464,C309,Crawford,,25.88,48.50,19.50,0,0
465,Y03,Crawford,,25.75,44.50,21.00,0,0
466,C310,Crawford,,25.75,44.50,21.00,0,0
467,C294,Crawford,,25.63,48.00,20.00,0,0
468,C311,Crawford,,25.50,48.50,20.50,0,0
469,C313,Crawford,,25.38,48.00,21.00,0,0
470,C314,Crawford,,25.38,47.00,23.00,0,0
471,C315,Crawford,,25.38,45.00,19.50,0,0
472,L68,Crawford,,25.25,46.50,20.75,0,0
473,C316,Crawford,,25.25,46.50,20.75,0,0
474,C317,Crawford,,25.19,44.50,17.50,0,0
475,X72,Crawford,,25.00,46.00,19.50,0,0
476,Y20,Crawford,,25.00,44.00,20.00,0,0
477,N69,Crawford,,25.00,47.50,21.00,0,0
478,C312,Crawford,,25.00,47.50,21.00,0,0
479,C318,Crawford,,25.00,48.00,17.00,0,0
480,C319,Crawford,,25.00,46.75,20.50,0,0
481,C320,Crawford,,25.00,46.00,19.50,0,0
482,C321,Crawford,,25.00,46.50,20.00,0,0
483,C322,Crawford,,25.00,44.50,20.00,0,0
484,C323,Crawford,,25.00,44.00,20.00,0,0
485,L33,Crawford,,24.75,45.00,20.00,0,0
486,C324,Crawford,,24.75,45.00,20.00,0,0
487,L37,Crawford,,24.50,45.50,20.00,0,0
488,Y25,Crawford,,24.50,44.50,20.00,0,0
489,C325,Crawford,,24.50,45.50,19.25,0,0
490,C326,Crawford,,24.50,45.50,20.00,0,0
491,C327,Crawford,,24.50,44.50,20.00,0,0
492,C328,Crawford,,24.31,46.00,17.75,0,0
493,C329,Crawford,,24.25,40.75,21.00,0,0
494,C330,Crawford,,24.13,44.00,19.75,0,0
495,X08,Crawford,,24.00,45.00,19.00,0,0
496,X59,Crawford,,24.00,46.50,19.50,0,0
497,N68,Crawford,,24.00,46.00,19.50,0,0
498,C331,Crawford,,24.00,45.00,19.00,0,0
499,C332,Crawford,,24.00,46.00,19.50,0,0
500,X82,Crawford,,23.50,44.00,18.50,0,0
501,C333,Crawford,,23.50,44.00,18.50,0,0
502,L04,Crawford,,23.00,43.00,20.00,0,0
503,L24,Crawford,,23.00,43.50,20.50,0,0
504,L42,Crawford,,23.00,45.00,20.00,0,0
505,L45,Crawford,,23.00,45.00,19.00,0,0
506,H03,Crawford,Hybrid,23.00,43.00,20.00,0,0
507,X33,Crawford,Hybrid,23.00,44.50,19.00,0,0
508,X40,Crawford,,23.00,44.00,17.50,0,0
509,Y11,Crawford,,23.00,43.00,20.00,0,0
510,N07,Crawford,,23.00,45.00,20.00,0,0
511,N17,Crawford,Hybrid,23.00,44.00,19.00,0,0
512,C334,Crawford,,23.00,43.50,20.00,0,0
513,C335,Crawford,,23.00,43.00,20.00,0,0
514,C336,Crawford,,23.00,43.50,20.50,0,0
515,C337,Crawford,,23.00,45.00,20.00,0,0
516,C338,Crawford,,23.00,43.00,20.00,0,0
517,C339,Crawford,,23.00,45.00,19.00,0,0
518,C340,Crawford,,23.00,45.00,20.00,0,0
519,C341,Crawford,,23.00,44.00,17.50,0,0
520,C342,Crawford,Hybrid,23.00,44.00,19.00,0,0
521,C343,Crawford,Hybrid,23.00,44.50,19.00,0,0
522,C344,Crawford,Hybrid,23.00,43.00,20.00,0,0
523,C345,Crawford,,22.68,44.13,19.25,0,0
524,L38,Crawford,,22.50,46.00,20.25,0,0
525,X13,Crawford,,22.50,44.00,20.50,0,0
526,Y01,Crawford,,22.50,43.00,21.00,0,0
527,Y32,Crawford,,22.50,44.00,20.50,0,0
528,C346,Crawford,,22.50,45.25,18.00,0,0
529,C347,Crawford,,22.50,43.00,21.00,0,0
530,C348,Crawford,,22.50,46.00,20.25,0,0
531,C349,Crawford,,22.50,44.00,20.50,0,0
532,C350,Crawford,,22.50,44.00,20.50,0,0
533,C351,Crawford,,22.50,43.00,20.50,0,0
534,L03,Crawford,,22.00,43.00,20.75,0,0
535,L21,Crawford,,22.00,45.50,19.00,0,0
536,L23,Crawford,,22.00,46.00,20.25,0,0
537,X06,Crawford,,22.00,44.00,18.50,0,0
538,X31,Crawford,,22.00,44.00,19.00,0,0
539,X56,Crawford,,22.00,44.50,20.00,0,0
540,X74,Crawford,,22.00,44.50,18.50,0,0
541,Y16,Crawford,Male,22.00,47.00,17.50,0,0
542,N29,Crawford,,22.00,45.00,18.00,0,0
543,C352,Crawford,,22.00,44.00,19.00,0,0
544,C353,Crawford,,22.00,44.50,18.50,0,0
545,C354,Crawford,,22.00,43.00,20.75,0,0
546,C355,Crawford,,22.00,46.00,20.25,0,0
547,C356,Crawford,,22.00,44.50,20.00,0,0
548,C357,Crawford,,22.00,47.00,17.50,0,0
549,C358,Crawford,,22.00,44.00,18.50,0,0
550,C359,Crawford,,22.00,45.50,19.00,0,0
551,C360,Crawford,,22.00,45.00,18.00,0,0
552,L32,Crawford,,21.50,44.00,20.00,0,0
553,N02,Crawford,,21.50,44.00,18.00,0,0
554,C361,Crawford,,21.50,43.00,19.50,0,0
555,C362,Crawford,,21.50,44.00,20.00,0,0
556,C363,Crawford,,21.43,47.63,18.00,0,0
557,C364,Crawford,,21.43,44.50,18.00,0,0
558,L55,Crawford,,21.00,43.00,20.00,0,0
559,M04,Crawford,,21.00,44.00,20.50,0,0
560,X11,Crawford,Hybrid,21.00,44.00,19.00,0,0
561,X64,Crawford,,21.00,43.00,18.50,0,0
562,X75,Crawford,Hybrid,21.00,42.00,19.50,0,0
563,X83,Crawford,,21.00,43.50,20.00,0,0
564,Y05,Crawford,,21.00,41.50,21.00,0,0
565,N12,Crawford,,21.00,44.00,18.00,0,0
566,N71,Crawford,,21.00,44.00,18.00,0,0
567,C365,Crawford,,21.00,44.00,20.50,0,0
568,C366,Crawford,,21.00,43.50,20.00,0,0
569,C367,Crawford,,21.00,44.00,18.00,0,0
570,C368,Crawford,,21.00,44.00,18.00,0,0
571,C369,Crawford,,21.00,43.00,18.50,0,0
572,C370,Crawford,Hybrid,21.00,44.00,19.00,0,0
573,C371,Crawford,,21.00,43.00,20.00,0,0
574,C372,Crawford,,21.00,41.50,21.00,0,0
575,C373,Crawford,Hybrid,21.00,42.00,19.50,0,0
576,C374,Crawford,,20.88,46.00,19.00,0,0
577,N34,Crawford,,20.50,45.00,18.50,0,0
578,C375,Crawford,,20.50,45.00,18.50,0,0
579,N37,Crawford,,20.25,44.00,18.00,0,0
580,C376,Crawford,,20.13,42.50,18.50,0,0
581,L02,Crawford,,20.00,41.00,19.00,0,0
582,L13,Crawford,,20.00,43.00,19.25,0,0
583,L25,Crawford,,20.00,44.00,19.50,0,0
584,L41,Crawford,,20.00,42.00,19.50,0,0
585,M16,Crawford,,20.00,42.00,19.75,0,0
586,M17,Crawford,,20.00,43.00,18.75,0,0
587,M26,Crawford,,20.00,42.00,19.50,0,0
588,X57,Crawford,,20.00,42.50,20.50,0,0
589,X73,Crawford,Hybrid,20.00,41.50,20.00,0,0
590,N55,Crawford,,20.00,43.50,18.50,0,0
591,N65,Crawford,,20.00,41.50,16.75,0,0
592,C377,Crawford,,20.00,44.00,19.50,0,0
593,C378,Crawford,Hybrid,20.00,41.50,20.00,0,0
594,C379,Crawford,,20.00,42.00,19.50,0,0
595,C380,Crawford,,20.00,43.50,18.50,0,0
596,C381,Crawford,,20.00,43.00,19.50,0,0
597,C382,Crawford,,20.00,43.00,19.25,0,0
598,C383,Crawford,,20.00,42.50,20.50,0,0
599,C384,Crawford,,20.00,42.00,19.00,0,0
600,C385,Crawford,,20.00,41.00,21.00,0,0
601,C386,Crawford,,20.00,41.00,19.00,0,0
602,C387,Crawford,,20.00,41.00,18.00,0,0
603,C388,Crawford,,20.00,41.00,18.00,0,0
604,N38,Crawford,,19.75,44.00,18.25,0,0
605,N62,Crawford,,19.75,45.00,21.00,0,0
606,L30,Crawford,,19.50,41.00,18.50,0,0
607,M08,Crawford,,19.50,41.50,20.00,0,0
608,L39,Crawford,,19.25,40.50,19.25,0,0
609,M07,Crawford,,19.25,44.00,19.25,0,0
610,X44,Crawford,,19.25,42.50,17.50,0,0
611,L10,Crawford,,19.00,40.00,17.25,0,0
612,L14,Crawford,,19.00,43.00,20.00,0,0
613,L54,Crawford,,19.00,40.00,20.00,0,0
614,L57,Crawford,,19.00,41.00,19.50,0,0
615,M27,Crawford,Male,19.00,42.00,19.50,0,0
616,Y33,Crawford,,19.00,42.00,18.50,0,0
617,N26,Crawford,,19.00,46.00,18.50,0,0
618,L53,Crawford,,18.75,41.00,19.50,0,0
619,N19,Crawford,Male,18.75,43.00,17.50,0,0
620,L26,Crawford,,18.50,41.00,19.50,0,0
621,M01,Crawford,,18.50,40.50,19.00,0,0
622,X03,Crawford,Hybrid,18.50,43.00,18.00,0,0
623,Y23,Crawford,,18.50,41.00,18.50,0,0
624,Y24,Crawford,,18.50,41.00,18.50,0,0
625,X81,Crawford,,18.25,42.50,18.00,0,0
626,Y27,Crawford,,18.25,40.00,19.00,0,0
627,L70,Crawford,,18.00,42.00,17.25,0,0
628,X25,Crawford,,18.00,42.00,17.50,0,0
